#/**
#  *
#  * German message catalog
#  *
#  * GForge
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * Copyright 2003-2004 (c) Marco Schmidt, Lars Ehrhardt
#  * Copyright 2005 (c) Michael Will
#  * http://gforge.org
#  *
#  * @author Matthias Bauer, Marco Schmidt, Lars Ehrhardt, Michael Will
#  *
#  */
#
# ChangeLog:
#
# 2003-11-07  Marco Schmidt
#	* changed translation
# 2004-02-04  Lars Ehrhardt
#   * merged german.tab with base.tab to allow easier editing
#   * added small bits and pieces
#   * added translation for tracker items (not completed)
#   * convert to UTF-8 with: konwert iso1-utf8 German.tab > German_new.tab
#   * convert to UTF-8 with: konwert html-utf8 German.tab > German_new.tab
# 2004-02-06  Lars Ehrhardt
#   * continued with translation -> did some parts of task manager
# 2004-11-04  Tobias Rötschke  <gforge@roetschke.com>
#   * fixed files/forum tab and some corrections
# 2005-01-13  Tobias Rötschke  <gforge@roetschke.com>
#   * corrected submit_new and depend_info
# 2005-11-04	Michael Will <Michael.Will@edag.de>
#   * added more translations (check cvs diff)
artifact_canned	required_fields	ArtifactCanned: Name und Bevollmächtigter werden benötigt
admin_trove_cat_add	new_category_full_name	Vollständiger Name der neuen Kategorie (VARCHAR 80)
admin_trove_cat_add	new_category_short_name	Kurzname der neuen Kategorie (keine Leerzeichen, nach Unix-Art)
admin_trove_cat_add	parent_category	Übergeordnete Kategorie
admin_trove_cat_add	title	Seiten Administrator: Projekt-Katalog - Kategorie hinzufügen
admin_trove_cat_edit	cant_delete_has_subcategories	Diese Katalog-Kategorie hat noch Unterkategorien und kann deshalb nicht gelöscht werden.
admin_trove_cat_edit	delete	Löschen
admin_trove_cat_edit	edit_trove_category	Bearbeite Katalog-Kategorie
admin_trove_cat_edit	error_in_trove_operation	Fehler bei Katalog-Operation
admin_trove_cat_edit	error_in_trove_operation_cant_delete	Fehler bei Katalog-Operation, kann keine Kategorie löschen, die als Default in local.inc definiert ist.
admin_trove_cat_edit	new_category_description	Beschreibung der neuen Kategorie (VARCHAR 255)
admin_trove_cat_edit	new_category_full_name	Vollständiger Name der neuen Kategorie (VARCHAR 80)
admin_trove_cat_edit	new_category_short_name	Kurzname der neuen Kategorie (keine Leerzeichen, nach Unix-Art)
admin_trove_cat_edit	no_such_category	Keine solche Kategorie. Diese Katalog-Kategorie existiert nicht.
admin_trove_cat_edit	parent_category	Übergeordnete Kategorie:
admin_trove_cat_edit	title	Seiten Administrator: Katalog - Bearbeite Kategorie
admin_trove_cat_edit	update	Aktualisieren
admin_trove_cat_list	add	Hinzufügen
admin_trove_cat_list	browse_trove_tree	Im Projektkatalog-Baum stöbern
admin_trove_cat_list	edit	Bearbeiten
admin_trove_cat_list	title	Site Admin: Projektkatalog - Kategorieliste
admin_unsubscribe	admin_initiaded_mail	vom Admin initiierte Mailings
admin_unsubscribe	all	ALLE
admin_unsubscribe	all_site_mailing	Alle Seiten-Mailings
admin_unsubscribe	comm_mail	Community Mail.
admin_unsubscribe	email	Email
admin_unsubscribe	error_unsubscribe_user	Fehler, konnte Benutzer nicht austragen:
admin_unsubscribe	mail	E-Mail
admin_unsubscribe	real_name	Realer Name
admin_unsubscribe	show_user_matching	Zeige Benutzer, die mit der Zeichenfolge übereinstimmen
admin_unsubscribe	site_mail	Seiten-Mail.
admin_unsubscribe	subscription_maintance	Seiten-Mailings Abonnement-Verwaltung
admin_unsubscribe	title	Seiten-Mailings Abonnement-Verwaltung
admin_unsubscribe	unsubscribe	Austragen
admin_unsubscribe	unsubscribe_user	Benutzer austragen:
admin_unsubscribe	use_fields_bellow	Benutze unten stehendes Feld, um Benutzer zu finden, deren Name mit der übergebenen Zeichenfolge $1 im Benutzernamen, wirklichen Namen oder der Email-Adresse übereinstimmt (Finden von Wortteilen ist voreingestellt, benutze '%' in der Mitte des Suchmusters um 0 oder mehrere Buchstaben zu ersetzen). Klicke auf den Benutzernamen, um den Benutzer aus der Seiten-Mailings-Liste auszutragen (ein neues Formular wird erscheinen).
admin_unsubscribe	user_id	Benutzer_ID
admin_unsubscribe	username	Benutzername
admin_unsubscribe	user_unsubscribed	Benutzer ausgetragen
admin_unsubscribe	you_can_unsubscribe	Sie können Benutzer entweder von den Admin-initiierten Mailings oder von allen Mailings (Admin-initiierte und automatisierte Mailings, wie Foren- und Datei-Release-Benachrichtigungen) austragen.
admin_useredit	account_info	Account Information
admin_useredit	active	Aktiv (A)
admin_useredit	could_not_complete_operation	Konnte Operation nicht vervollständigen
admin_useredit	current_confirm_bash	Aktueller Bestätigungs-Hash:
admin_useredit	delete	Löschen
admin_useredit	deleted	Gelöscht (D)
admin_useredit	delete_user_confirm	Ich möchte diesen Benutzer löschen
admin_useredit	email	Email:
admin_useredit	group_memerbership	Gruppen-Mitgliedschaften
admin_useredit	name	Name
admin_useredit	no_unix_account	Kein Unix-Account (N)
admin_useredit	operations	Operationen
admin_useredit	pending	Anstehend (P)
admin_useredit	project_admin	Projekt-Administrator
admin_useredit	real_name	Realer Name
admin_useredit	suspended	Gesperrt (S)
admin_useredit	this_page_allows	Diese Seite erlaubt ausschließlich direkte Eigenschaften des Benutzer-Objektes zu ändern. Um Eigenschaften des Benutzers bezüglich einer speziellen Gruppe zu ändern, besuchen Sie die Administrator-Seite dieser Gruppe (unten).
admin_useredit	title	Site 	Administrator: Benutzer-Info
admin_useredit	unix_account_status	Unix Account Status
admin_useredit	unix_name	Unix Name
admin_useredit	unix_shell	Unix Shell:
admin_useredit	unix_status_updated_mirroring	Der Unix Status ist gleich dem Web-Status, außer er hat den Wert 'Kein Unix Account (N)'
admin_useredit	update	Aktualisieren
admin_useredit	updated	Aktualisiert
admin_useredit	user_id	Benutzer-ID:
admin_useredit	user_name	Benutzer-Name:
admin_useredit	web_account_status	Web-Account Status
admin_userlist	activate	Aktivieren
admin_userlist	active	Aktiv
admin_userlist	add_date	Datum hinzufügen
admin_userlist	all_groups	Alle Gruppen
admin_userlist	delete	Löschen
admin_userlist	deleted	Gelöscht
admin_userlist	devprofile	Entwickler-Profil
admin_userlist	key	Schlüssel
admin_userlist	login	Login
admin_userlist	pending	 	(*)Anstehend
admin_userlist	submit	Abschicken
admin_userlist	suspend	Sperren
admin_userlist	suspended	Gesperrt
admin_userlist	userlist	Benutzer-Liste
admin_userlist	user_list_for_group	Benutzerliste für die Gruppe:
admin_userlist	user_updated	Benutzer-Status geändert auf: $1
admin_vhost	add_virtual_host	Virtuellen Host hinzufügen
admin_vhost	cgi_dir	CGI-Verzeichnis
admin_vhost	error_adding_vhost	Fehler beim Hinzufügen des VHOST:
admin_vhost	error_updating_vhost	Fehler beim Ändern des VHOST-Eintrags:
admin_vhost	get_info	Zeige Infos
admin_vhost	group	Gruppe
admin_vhost	group_unix_name	Gruppen-Unix-Name
admin_vhost	htdocs_dir	Htdocs-Verzeichnis
admin_vhost	no_such_host	Kein solcher VHOST:
admin_vhost	operations	Operationen
admin_vhost	scheduled_for_creation	Für die Erstellung in der Gruppe eingeplant
admin_vhost	the_provided_group	Der angegebene Gruppenname existiert nicht
admin_vhost	title	Seiten-Administrator
admin_vhost	tweak_directories	Ändere Verzeichnisse
admin_vhost	update	Aktualisiere
admin_vhost	update_record	Aktualisiere Eintrag:
admin_vhost	vhost_id	VHOST-ID
admin_vhost	vhost_name	VHOST-Name
admin_vhost	virtual_host	Virtueller Host:
admin_vhost	virtual_host_administration	Administration virtueller Hosts
admin_vhost	virtual_host_entry_updated	Eintrag des virtuellen Hosts geändert.
admin_vhost	virtual_host_name	Name des virtuellen Hosts
advanced_search	all	Alle
advanced_search	and_search	Mit allen Wörtern
advanced_search	headline	$1 Suchergebnis
advanced_search	no_matches_found	Keine Treffer gefunden
advanced_search	no_matches_found_no_under_section	Keine Treffer gefunden - Keine Sektionen verfügbar (Überprüfen Sie Ihre Erlaubnis)
advanced_search	none	Keine
advanced_search	or_search	mit einem Wort
advanced_search	search_button	Suchen
advanced_search	search_in	Suche in
advanced_search	select	Auswählen
artifact_category	required_fields	Produktkategorie: Name und Bevollmächtigter werden benötigt
calendar	april	April
calendar	august	August
calendar	december	Dezember
calendar	february	Februar
calendar	friday	Freitag
calendar	january	Januar
calendar	july	Juli
calendar	june	Juni
calendar	march	März
calendar	may	Mai
calendar	monday	Montag
calendar	monthdatefmt	M.Y
calendar	november	November
calendar	october	Oktober
calendar	saturday	Samstag
calendar	september	September
calendar	sunday	Sonntag
calendar	task_begins	Auftrag $1 beginnt
calendar	task_ends	Auftrag $1 endet
calendar	task_link_title	Auftragszusammenfassung: $1
calendar	thursday	Donnerstag
calendar	tuesday	Dienstag
calendar	wednesday	Mittwoch
classgroup	acceptedproject	Ihre Projekt-Registrierung für $7 wurde genehmigt.\n\nVollständiger Name des Projektes:  $1\nUnix-Name des Projektes:  $2\nCVS-Server:         cvs.$2.$3\nShell/Web-Server:   $2.$3\n\nIhr DNS wird bis zu einem Tag benötigen, bis es für Ihre Seite funktioniert.\nWährend Sie auf Ihre DNS-Auflösung warten, möchten Sie sich vielleicht an Ihrer Shell \n$4 anmelden und Ihr CVS auf $5 umstellen.\n\nFalls nach 6 Stunden Ihre Shell-/CVS-Accounts immer noch nicht funktionieren, öffnen Sie bitte ein Support-Ticket damit wir einen Blick auf das Problem werfen können.\nBitte beachten Sie, dass alle Shell-/CVS-Accounts für Telnet geschlossen sind und nur mit SSH1 funktionieren.\n\nIhre Website ist über Ihren Shell-Account zugänglich. Bitte lesen Sie\ndie Seite-Dokumentation (siehe Link unten) über korrekte Verwendung, verfügbare\nServices und die Verzeichnisstruktur des Accounts.\n\nWenn Sie Ihre eigene\nProjekt-Seite auf $7 besuchen, während Sie angemeldet sind, finden Sie einen\n\nzusätzlichen Menüpunkt auf der linken Seite mit der Bezeichnung 'Projekt-Administrator'.\n\nWir empfehlen Ihnen dringend , dass Sie jetzt $7 besuchen und eine öffentliche\nBeschreibung für Ihr Projekt erstellen. Das können Sie tun, wenn Sie Ihre Projektseite besuchen, während Sie angemeldet/eingeloggt sind, und Sie 'Projekt-Administrator' von den Menüs\nauf der linken Seite auswählen (oder durch besuchen von http://$3/project/admin/?group_id=$6\nnach dem Anmelden).\n\nIhr Projekt wird auch nicht in unserem Software Katalog (Liste der gehosteten Projekte auf $7) aufgeführt, bis Sie Ihr Projekt dafür kategorisieren. Damit Leute Ihr Projekt finden können, sollten Sie das jetzt tun.i\nBesuchen Sie Ihr Projekt während Sie angemeldet sind und wählen Sie 'Project Admin' von den\nMenüs auf der linken Seite.\n\nGenießen Sie das System und erzählen Sie anderen über $7. Lassen Sie es uns wissen,\nwenn dort irgend etwas ist, wobei wir Ihnen helfen können.\n\n-- Die $7 Mannschaft
classgroup	acceptedprojecttitle	$1 Projekt genehmigt
classgroup	newprojectnotification	Ein neues $1 Projekt wurde vorgeschlagen/angemeldet\n\nVollständiger Name des Projektes:  $2\nVorgeschlagene Beschreibung: $3\nLizenz: $4\n\nBitte besuchen Sie die folgende URL, um dieses Projekt zu genehmigen oder abzuweisen:\nhttp://$5/admin/approve-pending.php
classgroup	newprojectnotification_submitter	Ein neues $1 Projekt wurde angemeldet/vorgeschlagen\n\nVollständiger Name des Projektes:  $2\nAngegebene Beschreibung: $3\nLizenz: $4\n\nDas $1-Admin-Team wird jetzt Ihre Projekt-Anmeldung überprüfen. Sie werden über deren Entscheidung benachrichtigt.
classgroup	newprojectnotificationtitle	Neues $1 Projekt vorgeschlagen
classgroup	rejectedproject	Ihre Projekt-Registrierung für $3 wurde verweigert.\n\nVollständiger Projekt-Name:  $1n Unix-Name des Projektes:  $2\n\nGründe für die negative Entscheidung:\n\n
classgroup	rejectedprojecttitle	$1 Projekt abgelehnt
common	login	Anmelden
common	logout	Abmelden
common	myaccount	Mein Account
common	newaccount	Neuer Account
common_include_account	cvsreserved	Der Name ist für das CVS reserviert.
common_include_account	dnsreserved	Der Name ist für DNS-Zwecke reserviert.
common_include_account	illegal	Ungültiger Buchstabe im Namen.
common_include_account	nospace	Im Anmeldenamen dürfen keine Leerzeichen sein.
common_include_account	nounderscore	Der Gruppenname darf aus DNS-Gründen keine Unterstriche enthalten.
common_include_account	sixchar	Das Passwort muss aus mindestens 6 Buchstaben bestehen.
common_include_account	toolong	Der Name ist zu lang. Er muss kürzer als 15 Buchstaben sein.
common_include_account	tooshort	Der Name ist zu kurz. Er muss mindestens 3 Buchstaben enthalten.
common_utils	priority_colors	Prioritätsfarben
conf	mail_charset	UTF-8
cronman	date	Datum
cronman	job	Job
cronman	message	Nachricht
cronman	next	Nächste(r)
cronman	previous	Vorherige(r)
developer	body	Rumpf
developer	date	Datum
developer	diary_and_notes	Terminkalender und Notizen für
developer	entry_not_found	Kein Eintrag für diesen Benutzer gefunden
developer	no_entries	Dieser Benutzer hat keine Terminkalendereinträge
developer	no_user_selected	Kein Benutzer ausgewählt
developer	subject	Betreff
developer_monitor	error_inserting	Fehler beim Einfügen in 'user_diary_monitor'
developer_monitor	monitoring_user	Der Benutzer wird nun überwacht
developer_monitor	monitoring_user_expl	<p>Sie werden nun die Terminkalendereinträge dieses Benutzers per Email bekommen.</p><p>Um die Überwachung zu beenden, klicken Sie einfach wieder auf den <strong>Überwache Benutzer</strong>-Link.</p>
developer_monitor	monitoring_user_off	Die Überwachung wurde beendet.
developer_monitor	monitoring_user_off_expl	Sie werden keine Emails mehr von diesem Benutzer bekommen
developer_monitor	title	Überwache einen Benutzer
developer_monitor_choose_user	body	Fehler - Wählen Sie zuerst einen Benutzer zum Überwachen aus
developer_monitor_choose_user	title	Wählen Sie zuerst einen Benutzer
developer_rate	cannot_rate_yourself	Sie können sich nicht selbst bewerten
developer_rate	ratings_recorded	Bewertungen aufgenommen
developer_rate	ratings_recorded_body	Sie können diese Person noch einmal (anders) bewerten, indem Sie einfach wieder deren Berwertungs-Seite aufrufen und die Information noch einmal übermitteln.
developer_rate	title	Benutzer-Bewertung
developer_rate	turned_off_body	Sie hatten die Teilnahme am Bewertungssystem nicht ausgewählt
developer_rate	turned_off_title	Bewertungen ausgeschaltet
docman	admin	Administrator
docman	error_invalid_file_attack	Unzulässiger Dateiangriffsversuch $1
docman	error_no_docs	Dieses Projekt hat keine (sichtbare) Dokumentation
docman	error_no_groups_defined	Keine Dokumenten-Gruppe definiert
docman	submit_new	Neue Dokumentation übermitteln
docman	turned_off	Bei diesem Projekt wurde der Doku-Manager ausgeschaltet
docman	view_doc	Dokumentation ansehen
docman_admin	add_edit_docgroups	Hinzufügen/Bearbeiten von Dokumenten-Gruppen
docman_admin	section	Projekt: $1
docman_admin	title	Dokumenten-Manager: Administration
docman_admin_addgroups	section	Dokumenten-Manager Administration
docman_admin_addgroups	title	Dokumenten-Gruppen hinzufügen  
docman_admin_editdocs	doc_contents	Dokumenten-Inhalte
docman_admin_editdocs	section	Dokumenten-Manager Administration
docman_admin_editdocs	state	Stand
docman_admin_editdocs	title	Bearbeite Dokumente
docman_admin_editdocs	upload	OPTIONAL: Hochladen einer neuen Datei
docman_admin_editdocs	upload_url	Spezifizieren Sie eine URL, wo die Datei referenziert werden soll.
docman_admin_editgroups	add_group	Hinzufügen einer Gruppe
docman_admin_editgroups	description	Der Gruppen-Name wird als Titel benutzt, falls er dementsprechend formatiert sein sollte.
docman_admin_editgroups	edit_group	Bearbeite eine Gruppe
docman_admin_editgroups	group_id	ID
docman_admin_editgroups	group_name	Gruppen-Name
docman_admin_editgroups	new_group_name	Neuer Gruppen-Name
docman_admin_editgroups	section	Dokumenten-Manager Administration
docman_admin_editgroups	title	Bearbeite Gruppen
docman_common	error_min_desc_length	Die Dokumenten-Beschreibung muss mindestens 10 Buchstaben lang sein
docman_common	error_min_title_length	Der Titel muss mindestens 5 Buchstaben lang sein
docman_common	no_docs	Keine Dokumente gefunden
docman_common_doc	invalid_docid	Dokument: Ungültige Dokumenten-ID (docid)
docman_common_docgroup	invalid_id	Dokumenten-Gruppe: Ungültige Dokumenten-Gruppen-ID (DocumentGroup ID)
docman_common_docgroup	name_required	Dokumenten-Gruppe: Der Name wird benötigt
docman_display_doc	all_languages	Alle Sprachen
docman_display_doc	docmoved	Dieses Dokument wurde an  <a href="/docman/view.php/$1/$2">diesen neuen Ort</a> verschoben
docman_display_doc	no_document_data_text	Kein Dokument zum Anzeigen - ungültige oder inaktive Dokumenten-Nummer
docman_display_doc	no_document_data_title	Keine Dokumenten-Daten
docman_display_doc	section	Projekt: $1
docman_display_doc	title	Dokumenten-Manager: Dokument anzeigen
docman_new	description	Beschreibung
docman_new	doc_title	Dokumenten-Titel
docman_new	error_blank_document	Fehler beim Empfangen eines leeren Dokumentes
docman_new	file	Datei
docman_new	group	Gruppiere die Dokument-Zugehörigkeit in:
docman_new	intro	<strong>Dokumenten-Titel</strong>:  Verweist auf den relativ kurz gefassten Titel des Dokumentes (z.B. Wie benutzt man den Download-Server)<br /><strong>Beschreibung:</strong> Eine kurze Zusammenfassung, die unter dem Titel platziert wird.
docman_new	language	Sprache
docman_new	no_valid_group	Es wurde keine gültige Dokumenten-Gruppe ausgewählt
docman_new	section	Projekt: $1
docman_new	submit	Informationen abschicken
docman_new	submitted_successfully	Dokument erfolgreich übermittelt
docman_new	title	Dokumenten-Manager: Übermittle neue Dokumentation
docman_new	upload_file	Datei hochladen
docman_new	upload_url	ODER spezifizieren Sie eine URL, wo die Datei referenziert werden soll
error	not_found	SEITE NICHT GEFUNDEN
error	title	Angeforderte Seite nicht gefunden (Fehler 404)
exit	choose_group_body	Es wurde keine Gruppen-ID gewählt
exit	choose_group_title	FEHLER - Es wurde keine Gruppen-ID gewählt
exit	disabled_body	Der Seiten-Administrator hat dieses Feature ausgeschaltet.
exit	disabled_title	Fehler - abgeschaltetes Feature.
exit	exiting_with_error	Beendigung mit Fehler
exit	missing_parameters_body	Fehler - es fehlen benötigte Parameter
exit	missing_parameters_title	Fehler - es fehlen Parameter
forum	choose	<p>Wählen Sie ein Forum und Sie können schmökern, suchen und Nachrichten schreiben.<p>
forum	error_forum_not_found	Forum nicht gefunden
forum	error_no_forums_found	Keine Foren für $1 gefunden
forum	error_no_valid_group_object	Forum:: Kein gültiges Gruppen-Objekt
forum	forum	Forum
forum	forums_for	Foren für $1
forum_admin	add_forum	Forum hinzufügen
forum_admin	delete	Löschen
forum_admin	deleted	Erfolgreich gelöscht
forum_admin	delete_forum	Lösche das ganze Forum und all seinen Inhalt
forum_admin	delete_message	Nachricht löschen
forum_admin	delete_warning	Sie sind dabei dieses Forum und all seinen Inhalt permanent und unwiederbringlich zu löschen!
forum_admin	really_sure	Ich bin wirklich sicher
forum_admin	sure	Ich bin sicher
forum_admin	title	Foren: 	Administration
forum_admin_addforum	add_forum	Füge dieses Forum hinzu
forum_admin_addforum	allow_anonymous	Anonymes Posten erlauben?
forum_admin_addforum	email_posts	Sende alle Posts per Email an:
forum_admin_addforum	forum_created	Forum erfolgreich angelegt
forum_admin_addforum	forum_description	Beschreibung
forum_admin_addforum	forum_name	Name des Forums
forum_admin_addforum	is_public	Ist es öffentlich?
forum_admin_changestatus	change_status	Ändere Foren-Status
forum_admin_changestatus	intro	Sie können hier Foren-Merkmale einstellen. Bitte beachten Sie, dass private Foren von Mitgliedern Ihres Projektes weiterhin gelesen werden können, aber nicht von der allgemeinen Öffentlichkeit.
forum_admin_changestatus	update_successful	Foren-Info erfolgreich aktualisiert
forum_admin_delete_message	title	Lösche eine Nachricht
forum_admin_delete_message	warning	WARNUNG! Sie sind dabei, eine Nachricht und ihre Antworten für immer zu löschen!!
forum_admin_delete_messages	messages_deleted	$1 Nachrichten gelöscht
forum_common	error_adding_forum	Fehler beim Anlegen eines Forums
forum_common	error_illegal_characters	Illegale Zeichen im Forenname
forum_common	error_min_desc_length	Die Foren-Beschreibung muss mindestens 10 Buchstaben lang sein
forum_common	error_min_name_length	Der Forenname muss mindestens 3 Buchstaben lang sein
forum_common	error_save_when_logged_in	Sie können nur speichern, wenn Sie auch angemeldet sind.
forum_common	error_set_monitor	Sie können nur Foren beobachten/überwachen, wenn Sie angemeldet sind.
forum_common	error_unable_to_add_monitor	Konnte Überwachung nicht hinzufügen
forum_common_forummessage	error_cannot_update_master_thread	Konnte die aktuelle Zeit nicht setzen
forum_common_forummessage	error_cannot_update_parent	Konnte das Oberforum nicht aktualisieren
forum_common_forummessage	error_get_message_id	Forennachricht:"create()" Konnte die neue Nachrichten-ID nicht bekommen
forum_common_forummessage	error_getting_next_thread	Das Auslesen der ID des nächsten Diskussionsfadens ist fehlgeschlagen
forum_common_forummessage	error_group_forum_id	Die ID der Forengruppe (Group_forum_id) in der Datenbankabfrage stimmt nicht mit dem Forenobjekt überein
forum_common_forummessage	error_invalid_message_id	Forennachricht:"fetchData()" Ungültige Nachrichten-ID
forum_common_forummessage	error_no_valid_parent_message	Forennachricht:"create()" kein gültiges Vorgänger-Nachrichten-Objekt
forum_common_forummessage	error_posting_failed	Forennachricht:"create()" Posting fehlgeschlagen
forum_common_forummessage	error_required_fields	Die Nachricht muss einen Hauptteil (Body) und einen Betreff beinhalten
forum_common_forummessage	no_valid_forum_object	Forennachricht: Kein gültiges Foren-Objekt
forum_errors	error_getting_forum	Fehler beim Einlesen des Forums
forum_forum	author	Autor
forum_forum	changeview	Wechseln der Ansicht
forum_forum	date	Datum
forum_forum	description	Beschreibung 
forum_forum	flat	Flach
forum_forum	forum	Forum
forum_forum	lastpost	Letzte Nachricht
forum_forum	nested	Strukturiert
forum_forum	next_messages	Nächste Nachrichten
forum_forum	no_forum_chosen	Kein Forum ausgewählt
forum_forum	posts	Nachrichten
forum_forum	postsuccess	Nachricht erfolgreich abgeschickt
forum_forum	previous_messages	Vorherige Nachrichten
forum_forum	replies	Antworten
forum_forum	show	Anzeigen
forum_forum	thread	Diskussionsfaden
forum_forum	threaded	Diskussionsfäden
forum_forum	threads	Diskussionen
forum_forum	topic	Thema
forum_forum	topicstarter	eröffnet von
forum_forum	ultimate	Endgültig
forum_message	by	VON
forum_message	date	DATUM
forum_message	message	Nachricht
forum_message	message_not_found_body	Diese Nachricht existiert nicht (mehr)
forum_message	message_not_found_title	Nachricht nicht gefunden
forum_message	must_choose_message_body	Sie müssen zuerst eine Nachricht auswählen
forum_message	must_choose_message_title	Sie müssen zuerst eine Nachricht auswählen
forum_message	post_followup	Schreiben Sie eine Antwort auf diese Nachricht
forum_message	receive_followups	Erhalten der Antworten per Email
forum_message	subject	BETREFF
forum_message	thread	Starten Sie eine neue Diskussion
forum_message	thread_view	Diskussionsansicht
forum_monitor	activated	Beobachtung dieses Forums begonnen
forum_monitor	deactivated	Beobachtung dieses Forums beendet
forum_save	saved	Position im Forum gespeichert. Neue Nachrichten werden markiert, wenn Sie wiederkommen.
forum_utils	admin	Administrator
forum_utils	anonymously	Anonym
forum_utils	by	Von:
forum_utils	couldpostif	Sie könnten einen Beitrag posten, wenn Sie $1 in $2 angemeldet wären
forum_utils	date	Datum
forum_utils	discussionforum	Diskussionsforum:
forum_utils	doublepost	Sie scheinen diese Nachricht doppelt einzustellen, da die Nachricht den gleichen Betreff und die gleiche Referenz, wie eine vorhergehende Nachricht hat.
forum_utils	htmltag	HTML-Tags werden in Ihrer Nachricht als Text angezeigt
forum_utils	latest	Letzte Neuigkeiten
forum_utils	loggedin	Angemeldet:
forum_utils	mailmonitor	\nLesen und antworten Sie auf diese Nachricht bei: \n$1\nVon: $2 \n\n $3\n\n______________________________________________________________________\nSie erhalten diese Email, weil sie gewählt haben, diese Forum zu beobachten.\nUm die Beobachtung dieses Forums zu stoppen, melden Sie sich bei $4 an \n und besuchen Sie $5
forum_utils	message	Nachricht:
forum_utils	monitor	Überwache Forum
forum_utils	nonewsitem	Fehler - diese Nachricht wurde nicht gefunden
forum_utils	postanon	Sie posten anonym, da Sie nicht angemeldet sind
forum_utils	postcomment	Poste Kommentar
forum_utils	project	Projekt
forum_utils	reply	antworten
forum_utils	saveplace	Speicherplatz
forum_utils	stopmonitor	Stoppe Beobachtung
forum_utils	subject	Betreff:
forum_utils	summary	Zusammenfassung
frs	file_download	Downloaden
frs	file_monitor	Überwachen
frs	file_notes	Anmerkungen
frs	file_package	Paket
frs	file_rel_date	Datum
frs	file_version	Version
frs	latest_file_releases	Letzte Datei-Releases
frs_admin	delete	Löschen
frs_admin	deleted	Gelöscht
frs_admin	delete_package_warning	Sie sind dabei dieses Paket, all seine Freigaben und Dateien dauerhaft und unwiederbringlich zu löschen!
frs_admin	delete_release_warning	Sie sind dabei diese Freigabe und all seine Dateien dauerhaft und unwiederbringlich zu löschen!
frs_admin	really_sure	Ich bin mir wirklich sicher
frs_admin	sure	Ich bin mir sicher
frs_file	error_already_exists	Dieser Dateiname existiert bereits in diesem Projekt 
frs_file	error_cannot_move	Datei kann nicht zum aktuellen Ort verschoben werden
frs_file	error_invalid_file	FRSFile scheint ungültig zu sein
frs_file	error_min_name_length	FRSFile Name muss mindestens 3 Zeichen haben
frs_file	error_name_format	FRSFile Name sollte wie in diesem Beispiel sein: gforge-3.0.tar.bz2
frs_package	error_min_name_length	FRSPackage Name muss mindestens 3 Zeichen haben
frs_package	error_name_format	FRSPackage::Aktualisierung: Paketname darf nur alphanumerisch sein
frs_package	error_set_monitor	Sie können nur überwachen, wenn sie eingeloggt sind
frs_release	email_text	\n\nProjekt "$1" ('$2') hat  \n eine neue Version des Paket '$3'freigegeben \n Sie können es herunterladen, indem Sie diesem Link folgen:\n $4\n\n Sie erhalten diese Email, weil Sie \n baten informiert zu werden, wenn neue Versionen dieses Pakets \n freigegeben werden. Wenn Sie in Zukunft keine Benachrichtigungen mehr wünschen,\n loggen Sie sich bitte in $5 ein und klicken auf diesen Link: \n $6
frs_release	email_title	[$1 Freigabe] $2
frs_release	error_min_name_length	FRSPackage Name muss mindestens 3 Zeichen haben
general	add	Hinzufügen
general	browse	Durchsuchen
general	cancel	Abbrechen
general	confirm	Bestätigen
general	create_successful	Erfolgreich erstellt
general	delete	Löschen
general	deleted	Gelöscht
general	done	Fertig
general	edit	Ändern
general	error	Fehler
general	error_creating	Fehler beim Anlegen von $1
general	error_getting	Fehler $1 zu bekommen
general	error_group_id	Group_id Datenbank-Ergebnis stimmt nicht mit Gruppen-Objekt überein
general	error_missing_params	Fehlende Parameter
general	error_no_valid_group_object	$1:: Kein gültiges Gruppen-Objekt
general	error_on_update	Fehler bei der Aktualisierung:
general	footer	Dies ist $1.  Mehr darüber, unter anderem auch das Copyright Info, gehen sie auf diese Seite <a href="/about.php"></a>.
general	go	Gehe
general	invalid_email	Ungültige E-Mail Adresse
general	language	Sprache
general	more	Mehr
general	no	Nein
general	open	Offen
general	permdenied	Zugriff verweigert.
general	permexcuse	Dieser Projekt-Administrator muss Sie berechtigen, um diese Seite zu sehen.
general	permnotget	Zugriff nicht erhalten.
general	remove	Entfernen
general	reset	Zurücksetzen
general	return	Zurückgehen
general	submit	Abschicken
general	submit_edit	Änderung bestätigen
general	to	zu
general	total	Gesamt
general	update	Aktualisieren
general	update_successful	Aktualisierung erfolgreich
general	yes	Ja
global	error	FEHLER
group	activity	durchschnittlicher Aktivitätswert: 
group	activitystat	Zeige <a href="/project/stats/?group_id=$1">Statistiken</a> über Projektaktivität.
group	developer_info	Entwicklerinformationen
group	long_docman	Dokumenten-Manager: Projekt-Dokumentation
group	long_forum	Öffentliche Foren
group	long_ftp	Anonymer FTP-Zugriff
group	long_homepage	Projekt-Homepage
group	long_mail	Mailinglisten
group	long_news	Neueste Nachrichten
group	long_pm	Auftrags-Verwaltung
group	long_scm	SCM-Baum
group	long_survey	Umfragen
group	long_tracker	Tracker
group	nodescription	Dieses Projekt hat bisher keine Beschreibung angegeben.
group	norelease	Dieses Projekt hat bisher keine Dateien veröffentlicht.
group	project_admins	Projektbetreuer
group	public_area	Öffentliche Bereiche
group	registered	Registriert: 
