#/** -*- coding: utf-8 -*-
#  *
#  * Italian Message catalog
#  *
#  *
#  * @version   $Id$
#  *
#  * Changelog:
#  * 2002-12-15 rspisser <reinhard@spisser.it>
#  *           Translation from Base.tab
#  * 2003-01-04 rspisser <reinhard@spisser.it>
#  *           removed all not used entries
#  * 2003-01-17 rspisser <reinhard@spisser.it>
#  *           adding localization strings for forums
#  * 2003-01-21 rspisser <reinhard@spisser.it>
#  *           adding localization strings for my, diary, project_homepage
#  * 2003-01-25 rspisser <reinhard@spisser.it>
#  *           adding localization strings for pm
#  * 2003-02-04 rspisser <reinhard@spisser.it>
#  *           localization of the tracker
#  * 2003-11-13 rspisser <reinhard@spisser.it>
#  *            removed double strings, removed not translated strings,
#  * 2004-03-05 Lele Gaifax <lele@nautilus.homeip.net>
#  *            revisited and synced with Base.
#  * 2006-02-22 rspisser <reinhard@spisser.it>
#  *            synced with Base.tab
#  * 2006-05-02 rspisser <reinhard@spisser.it>
#  *            moved style information to .css file
#
#  **/
#

		account	title	Preferenze account
admin_vhost	add_virtual_host	Aggiungi host virtuale
admin_vhost	cgi_dir	CGI Dir
admin_vhost	error_adding_vhost	Errore nell'aggiunta del VHOST:
admin_vhost	error_updating_vhost	Errore nell'aggiornamento del VHOST:
admin_vhost	get_info	Ricava informazioni
admin_vhost	group	Progetto
admin_vhost	group_unix_name	Nome unix del progetto 
admin_vhost	htdocs_dir	Directory Htdocs
admin_vhost	no_such_host	Non esiste questo VHOST:
admin_vhost	operations	Operazioni
admin_vhost	scheduled_for_creation	schedulate per la creazione sul progetto
admin_vhost	the_provided_group	Il nome progetto inserito non esiste
admin_vhost	title	Amministrazione sito
admin_vhost	tweak_directories	Cambia directory
admin_vhost	update	Aggiorna
admin_vhost	update_record	Aggiorna record:
admin_vhost	vhost_id	ID VHOST
admin_vhost	vhost_name	Nome VHOST
admin_vhost	virtual_host	Host virtuale:
admin_vhost	virtual_host_administration	Amministrazione host virtuale
admin_vhost	virtual_host_entry_updated	Aggiornato host virtuale
admin_vhost	virtual_host_name	Nome host virtuale
advanced_search	all	tutto
advanced_search	and_search	con tutte le parole
advanced_search	headline	Risultati di ricerca $1
advanced_search	no_matches_found	Nessuna corrispondenza trovata
advanced_search	no_matches_found_no_under_section	Nessuna corrispondenza trovata - Non è stata trovata alcuna sezione (controlla i tuoi privilegi)
advanced_search	none	nessuno
advanced_search	or_search	una parola
advanced_search	search_button	Ricerca
advanced_search	search_in	Cerca in
advanced_search	select	Seleziona
artifact_canned	required_fields	ArtifactCanned: nome e assegnatario sono campi obbligatori
artifact_category	required_fields	ArtifactCategory: nome e assegnatario sono campi obbligatori
artifact_query	exist_query	La query esiste già
artifact_query	not_exist_query	La query non esiste
bbcode	bbcode_a_help	Chiudi tutti i tag bbCode aperti
bbcode	bbcode_b_help	Testo in grassetto: [b]text[/b]  (alt+b)
bbcode	bbcode_c_help	Codice: [code]code[/code]  (alt+c)
bbcode	bbcode_f_help	Dimensione del font: [size=x-small]testo piccolo[/size]
bbcode	bbcode_h_help	Link a elemento: [artifact]IDElemento[/artifact]   (alt+h)
bbcode	bbcode_i_help	Testo corsivo: [i]text[/i]  (alt+i)
bbcode	bbcode_k_help	Link ad attivit&agrave;: [task]IdForum:SottoProgetto:IdTask:NomeTask[/task]   (alt+k)
bbcode	bbcode_l_help	Elenco: [list]text[/list] (alt+l)
bbcode	bbcode_o_help	Elenco ordinato: [list=]text[/list]  (alt+o)
bbcode	bbcode_p_help	Inserisci immagine: [img]http://image_url[/img]  (alt+p)
bbcode	bbcode_q_help	Testo quotato : [quote]testo[/quote]  (alt+q)
bbcode	bbcode_s_help	Colore del font: [color=red]text[/color]  Suggerimento: puoi usare anche color=#FF0000
bbcode	bbcode_u_help	Testo sottolineato: [u]text[/u]  (alt+u)
bbcode	bbcode_w_help	Inserisci URL: [url]http://url[/url] or [url=http://url]URL text[/url]  (alt+w)
bbcode	close_tags	Chiudi tag
bbcode	code	Codice
bbcode	color_black	Nero
bbcode	color_blue	Blu
bbcode	color_brown	Marrone
bbcode	color_cyan	Ciano
bbcode	color_dark_blue	Blu scuro
bbcode	color_dark_red	Rosso scuro
bbcode	color_default	Default
bbcode	color_green	Verde
bbcode	color_indigo	Indaco
bbcode	color_olive	Verde oliva
bbcode	color_orange	Arancio
bbcode	color_red	Rosso
bbcode	color_violet	Viola
bbcode	color_white	Bianco
bbcode	color_yellow	Giallo
bbcode	font_color	Colore del font
bbcode	font_huge	Molto grande
bbcode	font_large	Grande
bbcode	font_normal	Normale
bbcode	font_size	Dimensione del font
bbcode	font_small	Piccolo
bbcode	font_tiny	Piccolissimo
bbcode	quote	Quota
bbcode	styles_tip	Suggerimento: gli stili possono essere applicati velocemente al testo selezionato
bbcode	wrote	ha scritto
calendar	april	aprile
calendar	august	agosto
calendar	december	dicembre
calendar	february	febbraio
calendar	friday	venerdì
calendar	january	gennaio
calendar	july	luglio
calendar	june	giugno
calendar	march	marzo
calendar	may	maggio
calendar	monday	lunedì
calendar	monthdatefmt	m-Y
calendar	november	novembre
calendar	october	ottobre
calendar	saturday	sabato
calendar	september	settembre
calendar	sunday	domenica
calendar	task_begins	Inizio attività $1
calendar	task_ends	Termine attività $1
calendar	task_link_title	Sommario attività: $1
calendar	thursday	giovedì
calendar	tuesday	martedì
calendar	wednesday	mercoledì
classgroup	acceptedproject	Il tuo progetto su $7 e' stato approvato.\n\nNome progetto: $1\nNome unix: $2\nServer CVS: cvs.$2.$3\nServer Web/Shell: $2.$3\n\nIl DNS sara' attivato fra circa 1 giorno. Mentre aspetti che il DNS\nper il tuo sito venga risolto, puoi provare a loggarti a\n\n $4\n \ne impostare il CVS a $5\n\nSe dopo 6 ore il tuo account shell/CVS non funziona ancora, apri un\nticket di supporto. Nota che tutti gli account di shell/CVS\nfunzionano solo con SSH1 (e non con telnet).\n\nIl sito sara' accessibile tramite il tuo account. Leggi la\ndocumentazione del sito (vedi link in basso) sull'utilizzo e sui\nservizi disponibili.\n\nQuando visiterai la pagina del tuo progetto, troverai una funzionalita'\naggiuntiva: \'Amministrazione Progetto\'. Ti suggeriamo di visitarla\ne di creare la descrizione pubblica del progetto (una volta effettuato\nil login puoi accedervi all'URL http://$3/project/admin/?group_id=$6).\n\nIl tuo progetto non sara' visualizzato nella mappa dei progetti\nfintanto che non verra' categorizzato nella amministrazione progetto.\nPer fare in modo che le persone possano trovare il tuo progetto,\ndovresti farlo subito. Visita il tuo progetto mentre sei loggato e\nseleziona \'Amministrazione Progetto\' dal menu. Per ogni problema,\ninviaci una mail.\n\n-- il team $7
classgroup	acceptedprojecttitle	Progetto $1 approvato
classgroup	newprojectnotification	Nuovo progetto $1 inserito\n\nNome progetto: $2\nDescrizione: $3\nLicenza: $4\n\nCollegati all'URL \nhttp://$5/admin/approve-pending.php per approvare o rifiutare il progetto.
classgroup	newprojectnotification_submitter	Inserito nuovo progetto su $1\n\nNome completo del progetto: $2\nDescrizione inserita: $3\nLicenza: $4\n\nIl team di amministrazione di $1 esaminera' la tua proposta di nuovo\nprogetto; riceverai un messaggio con la decisione presa.
classgroup	newprojectnotificationtitle	Nuovo progetto $1 inserito
classgroup	rejectedproject	Il tuo progetto $3 è stato rifiutato.\n\nNome progetto: $1\nUnix Name del progetto: $2\n\nRagioni per il rifiuto:\n\n
classgroup	rejectedprojecttitle	Progetto $1 rifiutato
common	login	Accedi
common	logout	Scollegati
common	myaccount	Mio account
common	newaccount	Nuovo account
common_include_account	cvsreserved	Il nome è riservato per il CVS.
common_include_account	dnsreserved	Il nome è riservato per il DNS.
common_include_account	illegal	Carattere non valido nel nome.
common_include_account	nospace	Nel nome login non possono esserci spazi
common_include_account	nounderscore	Il nome del progetto non può contenere caratteri sottolineato (_)
common_include_account	sixchar	La lunghezza della password deve essere di almeno 6 caratteri.
common_include_account	toolong	Nome troppo lungo, la lunghezza massima è di 15 caratteri.
common_include_account	tooshort	Nome troppo corto, la lunghezza minima è di 3 caratteri.
common_utils	priority_colors	Legenda delle priorità
conf	content_encoding	UTF-8
conf	mail_charset	UTF-8
configman	change	Percorso delle cartelle contenente la configurazione dei plugin, ad esempio: /etc/gforge/plugins/
configman	choose	Seleziona
configman	doedit	Salva
configman	enterpath	Percorso dove si trovano le cartelle di configurazione dei plugin, ad esempio: /etc/gforge/plugins/
configman	name	Attributo
configman	notopenfile	Impossibile aprire il file per lettura/scrittura. Controlla i permessi per apache.<br>
configman	notopenlocalinc	Impossibile aprire il file local.inc in lettura/scrittura. Controlla i permessi per apache<br>
configman	notopenplugindir	Impossibile aprire la cartella dei plugin in lettura. Controlla i permessi per apache.<br>
configman	nowrite	Il file non è stato scritto oppure è vuoto.<br>
configman	off	Spento
configman	on	Acceso
configman	updateok	File scritto con successo.<br>
cronman	date	Data
cronman	job	Lavoro
cronman	message	Messaggio
cronman	next	Avanti
cronman	previous	Indietro
developer	body	Contenuto
developer	date	Data
developer	diary_and_notes	Diario e note per
developer	entry_not_found	Elemento non trovato per questo utente
developer	no_entries	Questo utente non ha elementi nel diario
developer	no_user_selected	Nessun utente selezionato
developer	subject	Oggetto
developer_monitor	error_inserting	Errore nell'inserimento in user_diary_monitor
developer_monitor	monitoring_user	Attivata notifica utente
developer_monitor	monitoring_user_expl	<p>Ti verranno inviate per email gli elementi del diario.</p><p>Per disabilitare la notifica, è sufficiente cliccare di nuovo su <strong>Notifica utente</strong>
developer_monitor	monitoring_user_off	Notifica utente disabilitata
developer_monitor	monitoring_user_off_expl	Non riceverai più email da questo utente
developer_monitor	title	Notifica cambiamenti dell'utente
developer_monitor_choose_user	body	Errore - Prima devi selezionare un utente da monitorare
developer_monitor_choose_user	title	Selezionare un utente
developer_rate	cannot_rate_yourself	Non puoi valutare te stesso
developer_rate	ratings_recorded	Valutazioni registrate
developer_rate	ratings_recorded_body	Puoi rivalutare questa persona tornando sulla sua pagina di valutazioni e registrando nuovi voti.
developer_rate	title	Pagina valutazione utente
developer_rate	turned_off_body	Hai deciso di non partecipare alle valutazioni
developer_rate	turned_off_title	Valutazioni disabilitate
docman	admin	Amministra
docman	editor	Crea e modifica il file manualmente
docman	error_invalid_file_attack	Errore: attacco file non valido $1
docman	error_no_docs	Questo progetto non ha documenti visibili
docman	error_no_groups_defined	Nessun gruppo di documenti definito
docman	ftpupload	Upload tramite ftp
docman	httpupload	Upload Http
docman	pasteurl	Incolla la Url
docman	select	Seleziona prima la modalit&agrave; di upload che vuoi usare
docman	submit_new	Inserisci nuova documentazione
docman	turned_off	Questo progetto ha disabilitato il Document Manager
docman	view_doc	Visualizza documentazione
docman_admin	add_docs	[Aggiungi documento qui]
docman_admin	add_edit_docgroups	Aggiungi/Modifica gruppi di documenti
docman_admin	section	Progetto: $1
docman_admin	title	Document Manager: Amministrazione
docman_admin_addgroups	section	Amministrazione Document Manager
docman_admin_addgroups	title	Aggiungi gruppi di documenti
docman_admin_deletedoc	delete	Rimuovi
docman_admin_deletedoc	delete_warning	Stai per rimuovere questo documento in modo permanente.
docman_admin_deletedoc	really_sure	Sono veramente sicuro.
docman_admin_deletedoc	sure	Sono sicuro.
docman_admin_editdocs	delete_doc	Rimuovi questo documento in modo permanente
docman_admin_editdocs	doc_contents	Contenuti del documento
docman_admin_editdocs	edit	Modifica i contenuti se li vuoi adattare alle tue esigenze oppure non modificarli per lasciarli cos&igrave; come sono attualmente.
docman_admin_editdocs	section	Amministrazione Document Manager
docman_admin_editdocs	state	Stato
docman_admin_editdocs	title	Modifica documenti
docman_admin_editdocs	upload	OPZIONALE: Invia nuovo file
docman_admin_editdocs	upload_ftp	OR oppure seleziona un form FTP $1
docman_admin_editdocs	upload_url	Specifica un URL al quale verrà creata una referenza
docman_admin_editgroups	add_group	Aggiungi un gruppo
docman_admin_editgroups	description	Il nome del gruppo sarà utilizzato come titolo, quindi formattalo di conseguenza.
docman_admin_editgroups	edit_group	Modifica un gruppo
docman_admin_editgroups	group_id	ID
docman_admin_editgroups	group_name	Nome gruppo
docman_admin_editgroups	group_parent	Appartiene a
docman_admin_editgroups	new_group_name	Nome del nuovo gruppo
docman_admin_editgroups	new_group_parent	Appartiene a
docman_admin_editgroups	section	Amministrazione Document Manager
docman_admin_editgroups	title	Modifica gruppi
docman_common	error_min_desc_length	La descrizione del documento deve essere almeno di 10 caratteri
docman_common	error_min_title_length	Il titolo del documento deve essere almeno di 5 caratteri
docman_common	no_docs	Nessun documento trovato
docman_common_doc	invalid_docid	Document: docid non valido
docman_common_docgroup	invalid_id	DocumentGroup: ID del DocumentGroup non valido
docman_common_docgroup	invalid_parent_id	DocumentGroup: ID parent DocumentGroup non valido
docman_common_docgroup	name_required	Il nome è un attributo obbligatorio
docman_display_doc	all_languages	Tutte le lingue
docman_display_doc	docmoved	Questo documento è stato spostato in <a href="/docman/view.php/$1/$2">questa nuova posizione</a>
docman_display_doc	no_document_data_text	Impossibile visualizzare il documento - ID documento non valido oppure non attivo
docman_display_doc	no_document_data_title	Nessun documento
docman_display_doc	section	Progetto: $1
docman_display_doc	title	Document Manager: Visualizza documenti
docman_new	description	Descrizione
docman_new	doc_title	Titolo del documento
docman_new	edit	Modifica
docman_new	enableftpfirst	Devi prima abilitare l'upload tramite protocollo ftp
docman_new	error_blank_document	Errore nell'ottenere un documento vuoto
docman_new	file	File
docman_new	ftpupload_choosefile	Seleziona un file FTP:
docman_new	ftpupload_new_file	In alternativa puoi utilizzare FTP per inserire un file in $1
docman_new	group	Gruppo al quale appartiene il documento:
docman_new	intro	<strong>Titolo del documento</strong>: si riferisce al nome breve del titolo del documento (ad esempio, come usare il server per i file)<br /><strong>Descrizione:</strong> Una descrizione breve da visualizzare sotto il titolo.
docman_new	language	Lingua
docman_new	name	Inserisci il nome del file:
docman_new	no_valid_group	Non è stato selezionato un gruppo di documenti valido
docman_new	section	Progetto: $1
docman_new	selectsubmit	Seleziona opzione
docman_new	submit	Invia informazioni
docman_new	submitted_successfully	Documento inserito
docman_new	title	Document Manager: Inserisci nuova documentazione
docman_new	upload_file	Invia file
docman_new	upload_url	OR specifica un URL al quale verrà creato un link.
error	not_found	Pagina non trovata
error	title	Pagina richiesta non trovata (Errore 404)
exit	choose_group_body	Non è stato scelto nessun Id gruppo
exit	choose_group_title	ERRORE - Non è stato scelto nessun Id gruppo
exit	disabled_body	L'amministratore del sito ha disabilitato questa funzionalità.
exit	disabled_title	Errore - funzionalità disabilitata.
exit	double_submit_body	Stai cercando di inserire una seconda volta questo elemento. Non cliccare due volte.
exit	double_submit_title	Errore - inserimento duplicato
exit	exiting_with_error	Uscita con errore
exit	missing_parameters_body	Errore - Mancano alcuni parametri obbligatori
exit	missing_parameters_title	Errore - parametri mancanti
forum	choose	<p>Seleziona un forum e potrai scorrere, cercare e inserire messaggi.</p>
forum	error_forum_not_found	Forum non trovato
forum	error_no_forums_found	Nessun forum trovato per $1
forum	error_no_valid_group_object	Forum:: nessun oggetto Group valido
forum	forum	Forum
forum	forums_for	Forum per $1
forum_admin	add_forum	Aggiungi forum
forum_admin	delete	Rimuovi
forum_admin	deleted	Rimosso
forum_admin	delete_forum	Rimuovi l'intero forum e tutto il contenuto
forum_admin	delete_message	Rimuovi messaggio
forum_admin	delete_warning	Stai per rimuovere in modo permanente e irreversibile questo forum e il suo contenuto!
forum_admin	explain_moderate1	Per moderare inserimenti anonimi (se permessi in forum pubblici) e inserimenti da utenti che non sono membri del progetto.
forum_admin	explain_moderate2	Per moderare tutti gli inserimenti.
forum_admin	manage_attach_types	Gestisci tipi di allegati
forum_admin	manage_pending_messages	Gestisci messaggi in attesa di approvazione
forum_admin	moderate0	Non moderato
forum_admin	moderate1	Moderato al livello 1
forum_admin	moderate2	Moderato al livello 2
forum_admin	really_sure	Sono veramente sicuro
forum_admin	sure	Sono sicuro
forum_admin	title	Amministrazione forum
forum_admin_addforum	add_forum	Aggiungi questo forum
forum_admin_addforum	allow_anonymous	Permettere l'inserimento di messaggi da utenti anonimi?
forum_admin_addforum	email_posts	Invia tutti i messaggi a:
forum_admin_addforum	forum_created	Forum creato con successo
forum_admin_addforum	forum_description	Descrizione
forum_admin_addforum	forum_name	Nome forum
forum_admin_addforum	is_public	È pubblico?
forum_admin_attachs	actions	Azioni
forum_admin_attachs	attachtype	Tipi di allegati
forum_admin_attachs	deletenot_ok	Errore durante la cancellazione del tipo allegato
forum_admin_attachs	deleteok	Tipo allegato cancellato
forum_admin_attachs	enabled	Abilitato
forum_admin_attachs	extension	Estensione
forum_admin_attachs	extension_exists	Il nome esiste gi&agrave; seleziona un nome diverso oppure modifica quello esistente.
forum_admin_attachs	maxfilesize	Dimensione massima del file
forum_admin_attachs	maxheight	Altezza massima
forum_admin_attachs	maxwidth	Larghezza massima
forum_admin_attachs	updatenot_ok	Errore durante l'aggiornamento del tipo allegato
forum_admin_attachs	updateok	Tipo allegato aggiornato
forum_admin_changestatus	change_status	Cambia stato forum
forum_admin_changestatus	intro	Qui puoi cambiare le impostazioni per i forum. <b>Nota</b>: forum privati potranno sempre essere visti dai membri del progetto, ma non da tutti gli altri
forum_admin_changestatus	update_successful	Informazioni forum aggiornate con successo
forum_admin_delete_message	invalid_id	ID messaggio non valido
forum_admin_delete_message	title	Rimuovi un messaggio
forum_admin_delete_message	warning	ATTENZIONE! Stai per rimuovere in modo permanente il messaggio e tutte le risposte!!
forum_admin_delete_messages	messages_deleted	$1 messaggi rimossi
forum_admin_edit_message	message_edited	Messaggio modificato
forum_admin_edit_message	title	Modifica un messaggio
forum_admin_pending	forum_name	Nome forum
forum_admin_pending	nomoderated	Nessun forum moderato per il progetto
forum_admin_pending	subject	Messaggio
forum_admin_pending	thread_deleted	Il messaggio iniziale non esiste pi&ugrave; cancella il messaggio.
forum_admin_pending	update	Aggiorna
forum_admin_pending	view_pending_notice	Questo &egrave; il contenuto del messaggio in attesa di approvazione
forum_attach_download	cannot_delete	Non &egrave; possibile cancellare questo allegato.
forum_attach_download	cannot_edit	Non &egrave; possibile modificare questo allegato.
forum_attach_download	deleted	Allegato cancellato
forum_attach_download	not_exists	L'allegato non esiste
forum_attach_download	title	Allegati
forum_attach_download	type_disabled	Il tipo allegato &egrave; stato disabilitato dall'amministratore.
forum_attach_download	type_removed	Il tipo allegato &egrave; stato cancellato dall'amministratore.
forum_attach_download	warning	Attenzione: il file attuale verr&agrave; cancellato in modo permanente
forum_attachmngr	bad_dimension	Il file non allegato poich&egrave; la dimensione del file &egrave; troppo alta.
forum_attachmngr	err_inv_ext	Estensione non valida
forum_attachmngr	err_msgid	Impossibile reperire l'Id messaggio
forum_attachmngr	errnofile	Non è stato inserito alcun file
forum_attachmngr	err_toobig	Il file &egrave; troppo grande
forum_attachmngr	err_upload	Errore, problema con l'upload del file
forum_attachmngr	maximum_dimension	Le dimensioni massime di questo file sono: larghezza  $1 e altezza $2
forum_attachmngr	maximum_size	La dimensione massime per questo tipo di file è di  $1 byte
forum_attachmngr	not_image	Il file scelto non &egrave; un tipo immagine
forum_attachmngr	updateok	Effettuato l'upload del file
forum_attachmngr	upload_notok	Non &egrave; stato effettuato l'upload del file
forum_attachmngr	uploadok	Effettuato l'upload del file
forum_attachmngr	valid_ext_are	Le estensioni valide sono: $1
forum_common	error_adding_forum	Errore nella creazione del forum
forum_common	error_illegal_characters	Il nome del forum contiene caratteri non validi
forum_common	error_min_desc_length	La descrizione del forum deve essere almeno di 10 caratteri
forum_common	error_min_name_length	Il nome del forum deve essere almeno di 3 caratteri
forum_common	error_save_when_logged_in	Si può salvare la posizione solo quando si è colleggati
forum_common	error_set_monitor	Puoi richiedere la notifica di un forum solo se sei collegato
forum_common	error_unable_to_add_monitor	Impossibile aggiungere la notifica
forum_common_forum	error_save_place	Forum::savePlace()
forum_common_forummessage	error_cannot_update_master_thread	Non ho potuto aggiornare il thread principale con l'ora corrente
forum_common_forummessage	error_cannot_update_parent	Non ho potuto aggiornare il messaggio superiore
forum_common_forummessage	error_get_message_id	ForumMessage::create() Impossibile ottenere un nuovo ID per il messaggio
forum_common_forummessage	error_getting_next_thread	È fallita la richiesta del prossimo thread_id
forum_common_forummessage	error_group_forum_id	Group_forum_id in db result does not match Forum Object
forum_common_forummessage	error_invalid_message_id	ForumMessage::fetchData() Invalid MessageID
forum_common_forummessage	error_no_valid_parent_message	ForumMessage::create() No Valid ParentMessage Object
forum_common_forummessage	error_posting_failed	ForumMessage::create() Posting Failed
forum_common_forummessage	error_required_fields	Deve includere un oggetto e il contenuto
forum_common_forummessage	no_valid_forum_object	ForumMessage:: No Valid Forum Object
forum_errors	error_getting_forum	Errore nel recupero del forum
forum_forum	author	Autore
forum_forum	browseattach	Usa il pulsante "Scegli" per selezionare il file che vuoi allegare
forum_forum	changeview	Cambia Vista
forum_forum	currentfile	File corrente
forum_forum	date	Data
forum_forum	description	Descrizione
forum_forum	filetoupload	File da inserireforum_forum	flat	Piatto
forum_forum	forum	Forum
forum_forum	lastpost	Ultimo messaggio
forum_forum	mod0	Non moderato
forum_forum	mod1	Utenti anonimi e non membri del progetto
forum_forum	mod2	Tutti eccetti gli amministratori
forum_forum	moderationlvl	Livello moderazione
forum_forum	nested	Nidificato
forum_forum	next_messages	Messaggi successivi
forum_forum	no_forum_chosen	Nessun forum selezionato
forum_forum	pendingpostsuccess	Messaggio inserito nella coda per la moderazione -> Attendi finch&egrave; l'amministratore non approva/rigetta il messaggio
forum_forum	posts	Messaggi
forum_forum	postsuccess	Messaggio inserito con successo
forum_forum	previous_messages	Messaggi precedenti
forum_forum	replies	Risposte
forum_forum	show	Visualizza
forum_forum	thread	Argomento
forum_forum	threaded	Per Argomento
forum_forum	threads	Argomenti
forum_forum	topic	Argomento
forum_forum	topicstarter	Inizio Argomento
forum_forum	ultimate	Ultimi
forum_message	by	DA
forum_message	date	DATA
forum_message	message	Messaggio
forum_message	message_not_found_body	Il messaggio non esiste (più).
forum_message	message_not_found_title	Messaggio non trovato
forum_message	must_choose_message_body	Devi prima scegliere un messaggio a cui rispondere
forum_message	must_choose_message_title	Devi prima scegliere un messaggio a cui rispondere
forum_message	post_followup	Inserisci una risposta a questo messaggio
forum_message	receive_followups	Ricevi risposte via email
forum_message	subject	OGGETTO
forum_message	thread	Inizia un nuovo argomento
forum_message	thread_view	Vista per argomenti
forum_monitor	activated	Notifica forum attivata
forum_monitor	deactivated	Notifica forum disattivata
forum_myforums	myforums	I miei forum monitorati
forum_myforums	newcontent	Nuovo contenuto?
forum_myforums	no_monitored	Non hai nessun forum monitorato
forum_myforums	project	Progetto
forum_save	saved	Salva la posizione nel forum. Al prossimo collegamento i nuovi messaggi verranno evidenziati.
forum_utils	admin	Amministra
forum_utils	anonymously	Anonimamente
forum_utils	by	Da:
forum_utils	couldpostif	Potresti inviare messaggi se tu fossi $1 collegato $2
forum_utils	date	Data
forum_utils	discussionforum	Forum di discussione:
forum_utils	doublepost	Sembra tu stia inviando per la seconda volta questo messaggio, dal momento che ha lo stesso oggetto e stesse relazioni con i messaggi precedenti di un tuo altro messaggio.
forum_utils	htmltag	I Tag HTML verranno visualizzati come testo
forum_utils	latest	Ultime Notizie
forum_utils	loggedin	collegato
forum_utils	mailmonitor	\nLeggi e rispondi a questo messaggio a: \n$1\nBy: $2 \n\n$3\n\n______________________________________________________________________\nRicevi questo messaggio perche' hai selezionato di monitorare questo forum.\nPer terminare la notifica, fai il login a $4 \ne vai a: $5
forum_utils	message	Messaggio:
forum_utils	monitor	Notifica Forum
forum_utils	nonewsitem	Errore - questa notizia non è stata trovata
forum_utils	postanon	Stai inserendo i messaggi in modalità anonima perché non sei
forum_utils	postcomment	Invia messaggio
forum_utils	project	Progetto
forum_utils	reply	rispondi
forum_utils	saveplace	Salva Posizione
forum_utils	stopmonitor	Termina Notifica
forum_utils	subject	Oggetto:
forum_utils	summary	Sommario
frs	file_download	Scarica
frs	file_monitor	Notifica
frs	file_notes	Note
frs	file_package	Pacchetto
frs	file_rel_date	Data
frs	file_version	Versione
frs	latest_file_releases	Ultimi rilasci
frs_admin	delete	Rimuovi
frs_admin	deleted	Rimosso
frs_admin	delete_package_warning	Stai per rimuovere in modo permanente e irrimediabile questo package e tutti i rilasci e file!
frs_admin	delete_release_warning	Stai per rimuovere in modo permanente e irrimediabile questo rilascii e i file!
frs_admin	really_sure	Sono veramente sicuro
frs_admin	sure	Sono sicuro
frs_file	error_already_exists	Il nome del file esiste già all'interno di questo progetto
frs_file	error_cannot_move	Il file non può essere spostato nella directory finale
frs_file	error_invalid_file	Il file sembra non essere valido
frs_file	error_min_name_length	La lunghezza minima del nome di un FRSFile è di 3 caratteri
frs_file	error_name_format	Il nome del FRSFile dovrebbe seguire un formato simile a: gforge-3.0.tar.bz2
frs_package	error_min_name_length	La lunghezza minima del nome di un FRSFile è di 3 caratteri
frs_package	error_name_format	Il nome di un pacchetto può contenere solo caratteri alfanumerici
frs_package	error_set_monitor	Puoi attivare la notifica solo quando sei collegato
frs_release	email_text	\n\nIl progetto "$1" ('$2') ha \nrilasciato una nuova versione del pacchetto '$3' \nPuoi scaricarlo seguendo il link:\n$4\n\nRicevi questa mail\npoichè hai richiesto di essere avvertito quando una nuova versione di questo pacchetto viene rilasciata.\nSe non vuoi più essere notificato via email,\ncollegati a $5 e segui il link: \n$6
frs_release	email_title	[Rilascio $1]: $2
frs_release	error_min_name_length	La lunghezza minima del nome di un FRSPackage è di 3 caratteri
general	add	Aggiungi
general	browse	Consulta
general	cancel	Annulla
general	confirm	Conferma
general	create_successful	Creato con successo
general	delete	Cancella
general	deleted	Rimosso
general	done	Fatto
general	edit	Modifica
general	error	Errore
general	error_creating	Errore nella creazione di $1
general	error_getting	Errore richiedendo $1
general	error_group_id	Group_id in db result does not match Group Object
general	error_missing_params	Parametri mancanti
general	error_no_valid_group_object	$1:: No Valid Group Object
general	error_on_update	Errore nell'aggiornamento:
general	footer	Questo è $1. Per ulteriori informazioni, incluse quelle sul copyright, visita <a href="/about.php">questa pagina</a>.
general	go	Vai
general	invalid_email	Indirizzo email non valido
general	language	Lingua
general	min_characters	(minimo $1 caratteri)
general	more	Altri
general	no	No
general	open	aperti
general	permdenied	Autorizzazione negata.
general	permexcuse	L'amministratore del progetto dovrà darti il permesso di accedere a questa pagina.
general	permnotget	Impossibile ottenere il permesso
general	remove	Rimuovi
general	reset	Annulla
general	return	Torna
general	submit	Invia
general	submit_edit	Invia modifiche
general	to	a
general	total	totale
general	update	Aggiorna
general	update_successful	Aggiornato con successo
general	yes	Si
global	error	ERRORE
group	activity	Percentuale di attività:
group	activitystat	Visualizza le <a href="/project/stats/?group_id=$1">statistiche</a> di attività del progetto
group	developer_info	Informazioni sui membri del progetto
group	long_docman	DocManager: Documentazione progetto
group	long_forum	Forum Pubblici
group	long_ftp	Spazio FTP anonimo
group	long_homepage	Homepage del progetto
group	long_mail	Mailing List
group	long_news	Ultime Notizie
group	long_pm	Manager attività
group	long_scm	Repository SCM
group	long_survey	Sondaggi
group	long_tracker	Tracker
group	nodescription	Non è stata ancora inserita una descrizione per questo progetto.
group	norelease	Questo progetto non ha rilasciato alcun file
group	project_admins	Amministratori progetto
group	project_developers	Sviluppatori
group	public_area	Aree pubbliche
group	registered	Registrato:
group	rssfeeds	Visualizza una lista di <a href="/export/rss_project.php?group_id=$1">RSS </a> disponibili per questo progetto.
group	short_activity	Attivit&agrave; sul progetto
group	short_admin	Amministrazione
group	short_bugs	Bugs
group	short_docman	Documentazione
group	short_files	File
group	short_forum	Forum
group	short_homepage	Homepage
group	short_mail	Mailing List
group	short_memberlist	Sviluppatori
group	short_news	Notizie
group	short_patch	Patch
group	short_pm	Attivit&agrave;
group	short_scm	SCM
group	short_summary	Sommario
group	short_support	Supporto
group	short_survey	Sondaggi
group	short_tracker	Tracker
group_activity	lastmod	Ultima modifica
help	page_information	Informazioni
